n_blocks,insert_bps,erase_bps
906,6.46429e+06,7.8169e+06
908,2.14206e+06,7.8169e+06
908,2.14206e+06,5.31304e+07
910,4e+06,5.31304e+07
912,1.06122e+06,5.31304e+07
912,1.06122e+06,1.34471e+07
914,2.94149e+07,1.34471e+07
913,2.94149e+07,1.87581e+07
913,2.94149e+07,1.15e+07
915,1.66727e+07,1.15e+07
917,1.14667e+08,1.15e+07
919,2.43333e+07,1.15e+07
918,2.43333e+07,1.13696e+08
920,1.79831e+07,1.13696e+08
920,1.79831e+07,4.22188e+07
922,1.41607e+07,4.22188e+07
924,1.61835e+07,4.22188e+07
921,1.61835e+07,1.38833e+08
923,4.41765e+07,1.38833e+08
925,3.78788e+06,1.38833e+08
925,3.78788e+06,2.72e+07
927,2.07115e+07,2.72e+07
925,2.07115e+07,5.25667e+07
927,6.09524e+06,5.25667e+07
929,4.72549e+06,5.25667e+07
931,287356,5.25667e+07
931,287356,2.10328e+07
931,287356,233766
931,287356,1.61538e+06
929,287356,2.3303e+07
931,3.87536e+07,2.3303e+07
931,3.87536e+07,4.05882e+07
930,3.87536e+07,4.32e+07
932,7.16316e+07,4.32e+07
934,1.288e+07,4.32e+07
934,1.288e+07,2.80392e+06
934,1.288e+07,5.875e+06
934,1.288e+07,3.5e+06
936,9.34667e+07,3.5e+06
935,9.34667e+07,1.07788e+07
934,9.34667e+07,1.44889e+08
936,2.14875e+08,1.44889e+08
938,6.75904e+06,1.44889e+08
940,4.72e+08,1.44889e+08
940,4.72e+08,4.23333e+07
940,4.72e+08,27522.9
942,4.93023e+06,27522.9
944,3.49091e+06,27522.9
944,3.49091e+06,2.0382e+07
946,3.186e+08,2.0382e+07
948,3.39091e+06,2.0382e+07
948,3.39091e+06,1.08974e+07
